Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.00E-07,-2.02E-03,4.25E-08,"		1.0000338977241050e+00"
3.00E-07,-2.02E-03,4.19E-08,"		9.9999452947741241e-01"
3.00E-07,-2.02E-03,4.13E-08,"		9.9998558073264099e-01"
3.00E-07,-2.02E-03,4.70E-08,"		9.9992610431145923e-01"
3.50E-07,-2.02E-03,4.59E-08,"		9.9994614675418836e-01"
3.50E-07,-2.02E-03,4.70E-08,"		9.9999856638128692e-01"
4.00E-07,-2.02E-03,4.48E-08,"		1.0000981350329092e+00"
4.00E-07,-2.02E-03,4.59E-08,"		1.0000068402742344e+00"
4.00E-07,-2.02E-03,4.70E-08,"		1.0000697738358113e+00"
3.00E-07,-2.02E-03,4.25E-08,"		1.0000338977241050e+00"
3.50E-07,-2.02E-03,4.36E-08,"		1.0000801985197034e+00"
3.00E-07,-2.02E-03,4.48E-08,"		1.0001349374020132e+00"
4.00E-07,-2.02E-03,4.48E-08,"		1.0000981350329092e+00"
3.50E-07,-2.02E-03,4.59E-08,"		9.9994614675418836e-01"
3.00E-07,-2.02E-03,4.70E-08,"		9.9992610431145923e-01"
4.00E-07,-2.02E-03,4.25E-08,"		1.0001943082969031e+00"
4.00E-07,-2.02E-03,4.36E-08,"		1.0001364110749069e+00"
3.50E-07,-2.02E-03,4.25E-08,"		1.0000997246535437e+00"
4.00E-07,-2.02E-03,4.48E-08,"		1.0000981350329092e+00"
